judge,scope,mae,rmse,within1,icc,rho,wkappa,within_rater_rho,n
b_persona,overall,0.8517559523809524,1.2361415791193635,0.8127678571428572,0.6650712510814047,0.6641427949466228,0.66506793631868,0.5927892025512691,67200
b_persona,sporty,0.8931175595238094,1.2852139334316683,0.8006324404761904,0.6408459558505863,0.6435083553969301,0.6408288312703404,0.5243819411744527,13440
b_persona,luxurious,0.872358630952381,1.2397338493305097,0.8091145833333333,0.619872344623499,0.6193611641373471,0.6198548117768974,0.48861992122171005,13440
b_persona,modern,0.8535342261904761,1.2197073467320687,0.81640625,0.5846348464375499,0.5746597290948323,0.5846167778674753,0.3924745937335047,13440
b_persona,rugged,0.6980282738095238,1.1111064004811313,0.8592261904761904,0.7279227560628264,0.7272913035653664,0.7279080193299354,0.5946050170127628,13440
b_persona,preference,0.9417410714285714,1.3149915149770084,0.7784598214285714,0.5673395098288306,0.574999065549142,0.5673212456942871,0.4103621441525323,13440
g_card_twostage,overall,0.8462872023809525,1.2211245186515605,0.8157440476190476,0.6625784133364941,0.6617645436752371,0.66257508644586,0.5916063996450189,67200
g_card_twostage,sporty,0.8911830357142857,1.2737959022536733,0.8020833333333333,0.6325465119968494,0.6348867760866566,0.6325292222568119,0.5164959287710664,13440
g_card_twostage,luxurious,0.8675223214285714,1.2205290632596282,0.812983630952381,0.6176666562162636,0.6199261605420439,0.6176490843910327,0.4923613491820768,13440
g_card_twostage,modern,0.8521577380952381,1.2080420176091091,0.8169270833333333,0.5767817054654891,0.5665982594135088,0.5767635430774468,0.39170485252035614,13440
g_card_twostage,rugged,0.6962797619047619,1.1068927056278204,0.8592633928571428,0.7249219513388148,0.724560916707809,0.724907113476308,0.5923294671917722,13440
g_card_twostage,preference,0.9242931547619048,1.287919593966885,0.7874627976190476,0.5745136321914917,0.5811912834539845,0.5744954435436067,0.4234957935928628,13440
b_nocontext,overall,1.1611235119047618,1.5170924832427497,0.6858854166666667,0.42701412393921545,0.4476475676234484,0.42701048294987115,0.4828131125014935,67200
b_nocontext,sporty,1.1815848214285714,1.527707048124943,0.6771949404761904,0.3814779804226599,0.40921874047346696,0.38146042393419144,0.4579759134709823,13440
b_nocontext,luxurious,1.1253348214285714,1.4488916506713851,0.6972842261904761,0.34463932539341735,0.3955899619701957,0.34462251988750575,0.4460772870948917,13440
b_nocontext,modern,1.0665550595238096,1.3986731213518953,0.7345238095238096,0.2892018632015331,0.30631955000980104,0.28918656794605735,0.3521935370301618,13440
b_nocontext,rugged,1.0813244047619048,1.4939361208882236,0.7178571428571429,0.5088506864519396,0.47711429034697284,0.5088320903980155,0.5546636973709755,13440
b_nocontext,preference,1.3508184523809526,1.6989796501275993,0.6025669642857143,0.1775535782781515,0.28060779921496104,0.1775427130671109,0.32697890830605736,13440
pop_mean,overall,1.256826314281293,1.4911730807511514,0.42667410714285714,0.1388553198633512,0.262469005884423,0.0980742126945372,0.2866813674419681,67200
pop_mean,sporty,1.3595661047991556,1.5738130558476757,0.3956473214285714,,,,,13440
pop_mean,luxurious,1.2759848202644812,1.5028823578028765,0.4367931547619047,,,,,13440
pop_mean,modern,1.095241324412405,1.3862692455764378,0.4562872023809524,,,,,13440
pop_mean,rugged,1.297319489890994,1.5078946291824433,0.40647321428571426,,,,,13440
pop_mean,preference,1.2560198320394296,1.4788242808035803,0.4381696428571429,,,,,13440
car_mean,overall,1.0878289039574165,1.3385305570464818,0.5415997023809525,0.4496041642317333,0.5098631727004201,0.43696290153322337,0.5517276938787001,67200
car_mean,sporty,1.1270884547395348,1.38178189738024,0.5207217261904762,0.4196612037639505,0.47356641384308673,0.4087707639790576,0.5284374200034013,13440
car_mean,luxurious,1.0701757703949635,1.31765207043084,0.5479910714285714,0.4169712601804264,0.4840954623970072,0.40111548975513983,0.5402677242358047,13440
car_mean,modern,1.038853147595844,1.285306721931246,0.5619791666666667,0.3097798495576456,0.35474329720793013,0.30029737425655756,0.40846852855126503,13440
car_mean,rugged,1.0512436102913387,1.302553544393383,0.5760788690476191,0.4402667954480364,0.4644212930539398,0.4279916180906634,0.5340608619992164,13440
car_mean,preference,1.1517835367654006,1.4014676918045452,0.5012276785714286,0.2588897789864988,0.33486686952757105,0.2572440042187832,0.3913818000506863,13440
