judge,scope,mae,rmse,within1,icc,rho,wkappa,within_rater_rho,n
ctx20,overall,0.7965465465465466,1.1807525907596599,0.8328971828971828,0.6984366976457225,0.6968776624888804,0.6984321801646489,0.6231513636640426,46620
ctx20,sporty,0.8347990847990848,1.2210663889809037,0.8220720720720721,0.6774325031046898,0.6790220567647439,0.6774090683441166,0.5369118164733717,9324
ctx20,luxurious,0.834119834119834,1.2044167330893958,0.8242170742170742,0.6470726935088066,0.6461655641347376,0.6470482014816076,0.5003382530247272,9324
ctx20,modern,0.8070570570570571,1.1793100415145172,0.8344773344773344,0.6126842796191765,0.6035106866269041,0.6126588302163168,0.4080462653588568,9324
ctx20,rugged,0.6330973830973831,1.0358648982030456,0.8793436293436293,0.7820533860279165,0.7762058008650001,0.7820351051420323,0.6420784497181521,9324
ctx20,preference,0.8736593736593736,1.2511592517404058,0.8043758043758044,0.616774106426153,0.6203943497887109,0.6167487630040641,0.4517802670640032,9324
pop_mean,overall,1.2671660640587195,1.5044959766430657,0.4232375232375232,0.12790716138973066,0.24308053119193299,0.09564085660862413,0.26739063554410575,46620
pop_mean,sporty,1.357480488836421,1.5727961914980566,0.3974331474331474,,,,,9324
pop_mean,luxurious,1.271754386161166,1.4969798363836215,0.43750893750893755,,,,,9324
pop_mean,modern,1.0926262211572948,1.3825696601566229,0.4588159588159588,,,,,9324
pop_mean,rugged,1.3547978759843167,1.5785038027940808,0.3859216359216359,,,,,9324
pop_mean,preference,1.259171348154399,1.4831113397596436,0.4365079365079365,,,,,9324
car_mean,overall,1.090161343066854,1.3407255316594062,0.5378950378950379,0.4469812545203348,0.5100332143284175,0.43783107836496565,0.5516618541389718,46620
car_mean,sporty,1.1418986728571199,1.3957388432009588,0.5087587587587588,0.3952351381365351,0.45088552226307904,0.3846970983099614,0.5030772782815678,9324
car_mean,luxurious,1.0712321802285205,1.3194514330625715,0.5424710424710425,0.4039379046296756,0.4740002615887573,0.3972940550803384,0.5306821865663334,9324
car_mean,modern,1.0401392233736895,1.2863337652676379,0.5627413127413128,0.2946382518507921,0.34924207992309936,0.2841064732672655,0.41093137159845355,9324
car_mean,rugged,1.0416929497032157,1.2950903364671913,0.5792220792220792,0.5164966534306457,0.5149312486328584,0.5139444084068658,0.575233696690998,9324
car_mean,preference,1.1558436891717243,1.4023913741279912,0.49628199628199626,0.2554884826459121,0.3337697022320038,0.2622377929712889,0.3887999847013928,9324
b_persona,overall,0.8517559523809524,1.2361415791193635,0.8127678571428572,0.6650712510814046,0.6641427949466228,0.66506793631868,0.5927892025512691,67200
b_persona,sporty,0.8931175595238094,1.2852139334316683,0.8006324404761904,0.6408459558505862,0.6435083553969301,0.6408288312703404,0.5243819411744527,13440
b_persona,luxurious,0.872358630952381,1.2397338493305097,0.8091145833333333,0.6198723446234993,0.6193611641373471,0.6198548117768974,0.48861992122171005,13440
b_persona,modern,0.8535342261904761,1.2197073467320687,0.81640625,0.5846348464375499,0.5746597290948323,0.5846167778674753,0.3924745937335047,13440
b_persona,rugged,0.6980282738095238,1.1111064004811313,0.8592261904761904,0.7279227560628265,0.7272913035653664,0.7279080193299354,0.5946050170127628,13440
b_persona,preference,0.9417410714285714,1.3149915149770084,0.7784598214285714,0.5673395098288307,0.574999065549142,0.5673212456942871,0.4103621441525323,13440
b_nocontext,overall,1.1613888888888888,1.5186912898568405,0.6857093253968255,0.42740111429441424,0.4484276112199927,0.42739747247045107,0.4829956471642009,67200
b_nocontext,sporty,1.1823660714285713,1.5303991980455118,0.6763392857142857,0.38135942937498807,0.4101778280202648,0.38134187498020294,0.46003934115604356,13440
b_nocontext,luxurious,1.1262400793650793,1.4509463807318739,0.6979166666666666,0.3425383562084073,0.3933717246358636,0.3425216001935067,0.4428161669800004,13440
b_nocontext,modern,1.064484126984127,1.3981453725941873,0.7351934523809524,0.29249430960867007,0.3109533377906797,0.29247891347857863,0.3574634306741413,13440
b_nocontext,rugged,1.0810267857142857,1.4944588056649015,0.7173611111111112,0.5109023409561978,0.47931071506085177,0.510883748537264,0.5568320003917862,13440
b_nocontext,preference,1.352827380952381,1.7019136201306246,0.6017361111111111,0.17737270489799914,0.28170905903883153,0.17736184832879573,0.3278057168607121,13440
