baseline,metric,baseline_val,ctx20_val,pct_improve
pop_mean,mae,1.2672,0.7965,37.1
pop_mean,rmse,1.5045,1.1808,21.5
pop_mean,within1,0.4232,0.8329,96.8
pop_mean,icc,0.1279,0.6984,446.0
pop_mean,rho,0.2431,0.6969,186.7
pop_mean,within_rater_rho,0.2674,0.6232,133.0
car_mean,mae,1.0902,0.7965,26.9
car_mean,rmse,1.3407,1.1808,11.9
car_mean,within1,0.5379,0.8329,54.8
car_mean,icc,0.447,0.6984,56.3
car_mean,rho,0.51,0.6969,36.6
car_mean,within_rater_rho,0.5517,0.6232,13.0
b_nocontext,mae,1.1614,0.7965,31.4
b_nocontext,rmse,1.5187,1.1808,22.3
b_nocontext,within1,0.6857,0.8329,21.5
b_nocontext,icc,0.4274,0.6984,63.4
b_nocontext,rho,0.4484,0.6969,55.4
b_nocontext,within_rater_rho,0.483,0.6232,29.0
b_persona,mae,0.8518,0.7965,6.5
b_persona,rmse,1.2361,1.1808,4.5
b_persona,within1,0.8128,0.8329,2.5
b_persona,icc,0.6651,0.6984,5.0
b_persona,rho,0.6641,0.6969,4.9
b_persona,within_rater_rho,0.5928,0.6232,5.1
